Codigo_Punto,Aliado,Latitud,Longitud
17099,VALE+,4.59409316,-74.13902883
17098,VALE+,4.56164392,-74.14389367
17097,REVAL,4.40809567,-75.15858256
17096,VALE+,6.18773418,-75.59732964
17095,VALE+,6.03630636,-75.42855324
17094,VALE+,4.89433102,-75.88285344
17093,VALE+,5.07718523,-75.49035705
17091,VALE+,5.08723828,-75.52701966
17090,VALE+,6.2129308,-75.5836555
17089,VALE+,3.2509384,-76.22949906
17088,VALE+,3.52790968,-76.29845228
17087,REVAL,5.52989722,-73.36395575
17503,REVAL,10.5586679,-73.0113182
17350,VALE+,6.0442187,-74.9944266
17548,VALE+,6.7499933,-76.0258869
17547,VALE+,6.68068565,-75.9530957
17650,VALE+,7.294049,-75.38926
17546,REVAL,7.835804,-72.47101
17300,VALE+,6.6806106,-75.952585
18314,VALE+,5.69049142,-76.65972767
17545,VALE+,4.17624739,-76.16278311
17502,REVAL,1.8533652,-76.0468485
17086,REVAL,9.31987573,-74.97510013
17085,VALE+,3.48849292,-76.51451074
17084,REVAL,7.0966267,-73.09767
17083,VALE+,6.17148772,-75.60518952
17082,VALE+,6.25191151,-75.56598337
17081,VALE+,6.25277521,-75.56585144
17080,VALE+,6.3103633,-75.57516037
17079,VALE+,1.21689439,-77.27777469
17078,VALE+,1.201593333,-77.25612694
17077,VALE+,1.2150341,-77.2829798
17933,VALE+,6.17472439,-75.34843049
17932,VALE+,4.964776,-73.915361
17931,VALE+,5.023373,-74.0008185
17930,REVAL,7.0593321,-73.86026421
17928,REVAL,7.13229487,-73.12007391
17927,REVAL,7.0919719,-73.1130871
17926,REVAL,7.08342686,-73.11675437
17925,REVAL,7.15420122,-73.13581474
17923,REVAL,7.068853,-73.08176988
17922,VALE+,5.06174004,-75.47469534
17921,VALE+,6.22964395,-75.59176241
17920,REVAL,4.2087275,-76.1592944
17919,VALE+,4.58431993,-74.21147268
18506,REVAL,2.69350516,-75.32508994
18129,VALE+,6.48197505,-75.39045405
18505,REVAL,5.51334414,-73.24453995
18296,VALE+,6.2071874,-75.7331532
18223,VALE+,5.306091,-73.7123823
18128,REVAL,10.46716733,-73.25298618
18127,REVAL,10.4701403,-73.2648666
18126,VALE+,4.81605137,-75.70717681
18125,VALE+,6.15972541,-75.6371287
18124,REVAL,7.133482,-73.13608
18122,VALE+,5.04100125,-75.51495514
18121,VALE+,4.90261919,-75.87940691
18120,REVAL,2.92577655,-75.28709109
18118,REVAL,4.1356981,-73.61799272
18504,VALE+,6.76993496,-76.13212766
18117,VALE+,6.18951004,-75.59012837
18503,VALE+,6.78012713,-76.12855391
18116,VALE+,2.44008553,-76.60565659
18115,VALE+,2.43499589,-76.60441295
18114,REVAL,8.57028263,-74.5573723
18113,VALE+,4.58724255,-74.19550546
18112,VALE+,5.16505195,-75.51772785
18111,REVAL,4.44144063,-75.17884211
18110,VALE+,3.382778,-76.57793
18108,VALE+,6.2403698,-75.5519679
18107,VALE+,3.25075373,-76.22797121
18106,REVAL,7.13658,-73.111
18105,REVAL,4.308513,-74.80516
18104,VALE+,5.07316341,-75.49973388
18103,VALE+,2.43683573,-76.60354455
18102,VALE+,4.6971027,-74.11248613
18101,VALE+,3.25175002,-76.2291181
18100,VALE+,4.65545298,-74.07534795
18099,VALE+,3.25956038,-76.53897025
18295,VALE+,7.7516828,-76.6523347
18098,REVAL,10.9826795,-74.7965687
18097,VALE+,5.1312987,-73.8963364
18096,VALE+,4.595006,-74.14082
18094,VALE+,6.377458,-75.14122
18093,VALE+,6.34484192,-75.51311903
18092,VALE+,6.391233,-75.49566
18091,VALE+,6.34424273,-75.51474656
18090,VALE+,4.58266087,-74.20150611
18088,VALE+,4.627698,-74.18859
